step,fish,sharks
1225,12650,8069
1226,12371,8002
1227,12204,7969
1228,11789,7804
1229,11265,7774
1230,10754,7773
1231,11208,7657
1232,11883,7558
1233,12620,7476
1234,12820,7418
1235,13015,7525
1236,13065,7325
1237,12994,7304
1238,12539,7256
1239,12177,7225
1240,11678,7120
1241,12138,7027
1242,12978,7052
1243,13721,6977
1244,14142,7005
1245,14517,6870
1246,14464,6867
1247,14474,6840
1248,14015,6738
1249,13517,6794
1250,12982,6740
1251,13531,6730
1252,14350,6720
1253,15045,6670
1254,15756,6627
1255,16074,6602
1256,15993,6620
1257,16185,6591
1258,15644,6572
1259,15112,6521
1260,14685,6489
1261,15161,6472
1262,16031,6432
1263,16829,6525
1264,17517,6482
1265,17970,6585
1266,18035,6537
1267,17891,6633
1268,17270,6659
1269,16731,6512
1270,16076,6562
1271,16695,6584
1272,17533,6624
1273,18672,6607
1274,19165,6700
1275,19660,6751
1276,19631,6763
1277,19424,6744
1278,18895,6802
1279,18290,6758
1280,17617,6818
1281,18292,6803
1282,19357,6882
1283,20282,6934
1284,20632,6944
1285,21187,7050
1286,21263,7113
1287,20986,7200
1288,20250,7220
1289,19667,7241
1290,18780,7326
1291,19561,7377
1292,20645,7453
1293,21504,7577
1294,21789,7547
1295,22327,7690
1296,22212,7728
1297,21846,7745
1298,21173,7824
1299,20372,7904
1300,19632,7885
1301,20286,8015
1302,21455,8079
1303,22354,8142
1304,22771,8189
1305,23197,8232
1306,23083,8313
1307,22598,8385
1308,21750,8445
1309,21000,8554
1310,20178,8521
1311,20822,8614
1312,22011,8635
1313,22997,8629
1314,23564,8733
1315,24295,8799
1316,23821,8883
1317,23461,8987
1318,22683,8991
1319,21811,9090
1320,20850,9066
1321,21468,9188
1322,22754,9146
1323,23704,9350
1324,24260,9346
1325,24969,9436
1326,24521,9534
1327,23857,9557
1328,22965,9646
1329,22039,9746
1330,20949,9776
1331,21540,9802
1332,22398,9920
1333,23437,9921
1334,23847,10004
1335,24491,10147
1336,24023,10180
1337,23423,10286
1338,22428,10353
1339,21580,10396
1340,20707,10316
1341,21224,10285
1342,21826,10346
1343,22703,10439
1344,23265,10512
1345,23708,10697
1346,23251,10648
1347,22578,10710
1348,21654,10678
1349,20732,10783
1350,19973,10773
1351,20237,10825
1352,20730,10843
1353,21541,10973
1354,21654,10930
1355,22101,11051
1356,21558,11087
1357,20975,11073
1358,19971,11093
1359,19129,11200
